Date,SEC,HYU,NAVER
2011-09-25,15160,197000,67646
2011-09-26,15500,196000,66704
2011-09-27,16080,207000,67803
2011-09-28,16140,205000,68274
2011-09-29,16740,211000,69373
2011-09-30,16800,211000,71256
2011-10-01,16800,211000,71256
2011-10-02,16800,211000,71256
2011-10-03,16800,211000,71256
2011-10-04,16560,205000,71256
2011-10-05,16840,197000,72826
2011-10-06,17100,194500,74238
2011-10-07,17200,200000,69530
2011-10-08,17200,200000,69530
2011-10-09,17200,200000,69530
2011-10-10,17480,197000,70628
2011-10-11,17620,204500,70628
2011-10-12,17960,207500,72669
2011-10-13,17800,212000,72198
2011-10-14,17720,212500,76906
2011-10-15,17720,212500,76906
2011-10-16,17720,212500,76906
2011-10-17,17800,219500,78319
2011-10-18,17660,217500,77220
2011-10-19,17720,221500,80045
2011-10-20,18140,215500,74552
2011-10-21,18340,216500,73453
2011-10-22,18340,216500,73453
2011-10-23,18340,216500,73453
2011-10-24,18820,228000,75651
2011-10-25,18900,228000,75494
2011-10-26,18680,223500,74238
2011-10-27,18480,223500,74552
2011-10-28,18900,225000,72669
2011-10-29,18900,225000,72669
2011-10-30,18900,225000,72669
2011-10-31,19360,227000,73140
2011-11-01,19800,231500,72198
2011-11-02,19420,232000,73140
2011-11-03,19340,231000,71570
2011-11-04,20100,238000,73296
2011-11-05,20100,238000,73296
2011-11-06,20100,238000,73296
2011-11-07,19860,237000,71884
2011-11-08,19400,236500,72669
2011-11-09,19700,235000,76279
2011-11-10,18700,221500,72512
2011-11-11,19660,228500,74395
2011-11-12,19660,228500,74395
2011-11-13,19660,228500,74395
2011-11-14,19920,231500,75651
2011-11-15,19920,230000,77691
2011-11-16,19500,226000,75965
2011-11-17,19600,226500,77534
2011-11-18,19260,221500,74552
2011-11-19,19260,221500,74552
2011-11-20,19260,221500,74552
2011-11-21,19000,218500,73140
2011-11-22,19260,220500,76122
2011-11-23,18700,215500,73610
2011-11-24,18860,215500,74709
2011-11-25,18940,208500,77063
2011-11-26,18940,208500,77063
2011-11-27,18940,208500,77063
2011-11-28,19560,209000,77691
2011-11-29,20100,216500,78947
2011-11-30,20080,213000,77848
2011-12-01,21480,221500,71256
2011-12-02,21000,221500,71884
2011-12-03,21000,221500,71884
2011-12-04,21000,221500,71884
2011-12-05,21320,223000,72669
2011-12-06,20880,226000,72669
2011-12-07,21120,227000,69687
2011-12-08,21280,223000,70628
2011-12-09,21060,216000,67803
2011-12-10,21060,216000,67803
2011-12-11,21060,216000,67803
2011-12-12,21680,219000,71256
2011-12-13,21000,210500,71413
2011-12-14,20800,209000,68431
2011-12-15,20300,203500,67803
2011-12-16,20900,208500,68274
2011-12-17,20900,208500,68274
2011-12-18,20900,208500,68274
2011-12-19,20140,206000,65763
2011-12-20,20240,208500,63409
2011-12-21,21140,213000,69687
2011-12-22,21040,213500,69373
2011-12-23,21360,215000,68902
2011-12-24,21360,215000,68902
2011-12-25,21360,215000,68902
2011-12-26,21320,214500,67646
2011-12-27,21460,213000,68117
2011-12-28,21220,213000,65920
2011-12-29,21160,213000,66234
2011-12-30,21160,213000,66234
2011-12-31,21160,213000,66234
2012-01-01,21160,213000,66234
2012-01-02,21600,212500,65606
2012-01-03,22100,221500,68902
2012-01-04,21600,223500,68902
2012-01-05,21100,223500,67960
2012-01-06,20800,219500,67960
2012-01-07,20800,219500,67960
2012-01-08,20800,219500,67960
2012-01-09,20320,221500,67803
2012-01-10,20520,226500,67803
2012-01-11,20420,227000,69059
2012-01-12,20560,229500,69687
2012-01-13,20920,227500,69687
2012-01-14,20920,227500,69687
2012-01-15,20920,227500,69687
2012-01-16,20600,226000,69059
2012-01-17,20720,231000,70314
2012-01-18,20600,226000,71413
2012-01-19,21440,227500,72041
2012-01-20,22100,232000,70157
2012-01-21,22100,232000,70157
2012-01-22,22100,232000,70157
2012-01-23,22100,232000,70157
2012-01-24,22100,232000,70157
2012-01-25,22280,234000,68117
2012-01-26,22260,229000,69059
2012-01-27,22500,221000,67960
2012-01-28,22500,221000,67960
2012-01-29,22500,221000,67960
2012-01-30,22300,216000,66234
2012-01-31,22140,221000,66548
2012-02-01,21580,218500,65920
2012-02-02,21600,218000,66077
2012-02-03,21320,216500,68274
2012-02-04,21320,216500,68274
2012-02-05,21320,216500,68274
2012-02-06,21480,212500,69216
2012-02-07,21860,219000,68588
2012-02-08,21840,221500,66861
2012-02-09,21680,220000,66704
2012-02-10,21240,217500,68274
2012-02-11,21240,217500,68274
2012-02-12,21240,217500,68274
2012-02-13,21660,221500,68274
2012-02-14,21600,219000,68745
2012-02-15,22700,218500,70628
2012-02-16,22700,219000,69373
2012-02-17,23520,223000,68902
2012-02-18,23520,223000,68902
2012-02-19,23520,223000,68902
2012-02-20,23500,224000,67960
2012-02-21,23600,226500,70000
2012-02-22,23940,224000,72512
2012-02-23,23200,219000,75337
2012-02-24,23600,216500,74552
2012-02-25,23600,216500,74552
2012-02-26,23600,216500,74552
2012-02-27,23420,210000,74709
2012-02-28,23700,208500,72983
2012-02-29,24120,216000,73296
2012-03-01,24120,216000,73296
2012-03-02,23640,220000,74552
2012-03-03,23640,220000,74552
2012-03-04,23640,220000,74552
2012-03-05,23480,220000,72983
2012-03-06,23600,216500,73140
2012-03-07,23440,213000,73924
2012-03-08,23600,212000,71256
2012-03-09,24600,212500,73140
2012-03-10,24600,212500,73140
2012-03-11,24600,212500,73140
2012-03-12,24200,215500,75808
2012-03-13,24420,223500,74866
2012-03-14,25000,225000,74081
2012-03-15,25000,228000,74395
2012-03-16,24760,223000,73767
2012-03-17,24760,223000,73767
2012-03-18,24760,223000,73767
2012-03-19,25200,224000,74866
2012-03-20,25340,224000,75023
2012-03-21,24840,225500,78319
2012-03-22,25160,227000,76749
2012-03-23,25220,225000,77377
2012-03-24,25220,225000,77377
2012-03-25,25220,225000,77377
2012-03-26,25500,224000,78790
2012-03-27,26220,226000,83341
2012-03-28,26040,232500,82086
2012-03-29,25600,236500,79575
2012-03-30,25500,233000,81615
2012-03-31,25500,233000,81615
2012-04-01,25500,233000,81615
2012-04-02,25980,240000,81301
2012-04-03,26700,255000,81929
2012-04-04,26400,253500,79575
2012-04-05,26600,264000,86010
2012-04-06,26640,264500,85382
2012-04-07,26640,264500,85382
2012-04-08,26640,264500,85382
2012-04-09,26340,268500,84283
2012-04-10,26220,261000,83184
2012-04-11,26220,261000,83184
2012-04-12,25460,258500,83027
2012-04-13,25360,258000,82243
2012-04-14,25360,258000,82243
2012-04-15,25360,258000,82243
2012-04-16,25180,263000,81301
2012-04-17,24980,259000,82400
2012-04-18,25860,263500,82714
2012-04-19,26140,259500,84440
2012-04-20,25640,254000,83812
2012-04-21,25640,254000,83812
2012-04-22,25640,254000,83812
2012-04-23,25580,250000,82243
2012-04-24,25660,257000,78319
2012-04-25,26100,257500,80202
2012-04-26,26800,262000,80830
2012-04-27,27480,260500,78947
2012-04-28,27480,260500,78947
2012-04-29,27480,260500,78947
2012-04-30,27800,268500,80359
2012-05-01,27800,268500,80359
2012-05-02,28200,268000,78476
2012-05-03,28020,265500,80045
2012-05-04,27200,257000,77534
2012-05-05,27200,257000,77534
2012-05-06,27200,257000,77534
2012-05-07,26840,257500,76592
2012-05-08,26820,255500,74866
2012-05-09,26620,250000,79888
2012-05-10,26540,250000,76906
2012-05-11,26060,248000,75180
2012-05-12,26060,248000,75180
2012-05-13,26060,248000,75180
2012-05-14,26280,250500,74866
2012-05-15,26220,250500,72826
2012-05-16,24600,240500,71256
2012-05-17,24460,240500,69844
2012-05-18,23320,229000,70314
