Calendar Basis,,,
Portfolio, ,Default,
Item, , ,
Frequency,일간,KRW,
Non-Trading Day,Previous,Asc,
Include Weekend,ALL, ,
Term,20100101,Current(20251128),
Symbol,A005930,A005380,A035420
Symbol Name,삼성전자,현대차,NAVER
Kind,SSC,SSC,SSC
Item,S410000700,S410000700,S410000700
Item Name,수정주가(원),수정주가(원),수정주가(원)
Frequency,DAILY,DAILY,DAILY
2019-10-03,"47,600","128,500","157,000"
2019-10-04,"48,000","126,500","150,500"
2019-10-05,"48,000","126,500","150,500"
2019-10-06,"48,000","126,500","150,500"
2019-10-07,"47,750","128,000","153,000"
2019-10-08,"48,900","129,500","153,500"
2019-10-09,"48,900","129,500","153,500"
2019-10-10,"48,550","126,500","153,500"
2019-10-11,"49,150","126,000","156,000"
2019-10-12,"49,150","126,000","156,000"
2019-10-13,"49,150","126,000","156,000"
2019-10-14,"50,000","122,000","156,000"
2019-10-15,"50,100","122,000","151,500"
2019-10-16,"50,700","123,000","154,500"
2019-10-17,"50,500","123,000","153,000"
2019-10-18,"49,900","123,000","150,500"
2019-10-19,"49,900","123,000","150,500"
2019-10-20,"49,900","123,000","150,500"
2019-10-21,"50,300","122,000","152,000"
2019-10-22,"51,200","122,000","154,000"
2019-10-23,"51,200","121,000","152,500"
2019-10-24,"50,700","122,000","153,000"
2019-10-25,"50,900","123,500","152,500"
2019-10-26,"50,900","123,500","152,500"
2019-10-27,"50,900","123,500","152,500"
2019-10-28,"51,300","121,500","157,000"
2019-10-29,"51,100","122,500","153,000"
2019-10-30,"50,400","122,500","154,500"
2019-10-31,"50,400","122,000","164,000"
2019-11-01,"51,200","124,000","167,000"
2019-11-02,"51,200","124,000","167,000"
2019-11-03,"51,200","124,000","167,000"
2019-11-04,"52,300","124,000","164,500"
2019-11-05,"52,700","125,000","161,500"
2019-11-06,"53,300","123,500","161,500"
2019-11-07,"52,900","123,500","165,500"
2019-11-08,"52,100","124,000","163,500"
2019-11-09,"52,100","124,000","163,500"
2019-11-10,"52,100","124,000","163,500"
2019-11-11,"51,600","123,500","163,000"
2019-11-12,"52,600","125,500","162,000"
2019-11-13,"52,500","124,500","158,000"
2019-11-14,"52,800","124,500","180,000"
2019-11-15,"53,700","125,500","173,500"
2019-11-16,"53,700","125,500","173,500"
2019-11-17,"53,700","125,500","173,500"
2019-11-18,"53,500","126,000","178,500"
2019-11-19,"53,500","125,000","170,500"
2019-11-20,"52,000","124,500","169,500"
2019-11-21,"51,000","124,500","170,000"
2019-11-22,"51,600","123,500","167,500"
2019-11-23,"51,600","123,500","167,500"
2019-11-24,"51,600","123,500","167,500"
2019-11-25,"51,800","125,000","174,000"
2019-11-26,"51,800","122,500","173,000"
2019-11-27,"52,200","123,500","172,500"
2019-11-28,"51,300","124,000","173,000"
2019-11-29,"50,300","121,000","172,000"
2019-11-30,"50,300","121,000","172,000"
2019-12-01,"50,300","121,000","172,000"
2019-12-02,"50,400","121,500","171,500"
2019-12-03,"49,900","121,500","172,000"
2019-12-04,"49,450","122,000","174,500"
2019-12-05,"49,500","118,000","170,500"
2019-12-06,"50,400","118,500","174,000"
2019-12-07,"50,400","118,500","174,000"
2019-12-08,"50,400","118,500","174,000"
2019-12-09,"51,200","119,500","175,000"
2019-12-10,"51,500","120,000","174,500"
2019-12-11,"51,900","119,000","174,000"
2019-12-12,"53,300","120,000","175,500"
2019-12-13,"54,700","121,000","175,500"
2019-12-14,"54,700","121,000","175,500"
2019-12-15,"54,700","121,000","175,500"
2019-12-16,"54,700","119,000","179,500"
2019-12-17,"56,700","122,000","180,500"
2019-12-18,"56,300","123,000","178,500"
2019-12-19,"56,000","123,500","179,000"
2019-12-20,"56,000","124,000","183,500"
2019-12-21,"56,000","124,000","183,500"
2019-12-22,"56,000","124,000","183,500"
2019-12-23,"55,500","122,500","184,000"
2019-12-24,"55,000","122,000","182,000"
2019-12-25,"55,000","122,000","182,000"
2019-12-26,"55,400","122,500","180,500"
2019-12-27,"56,500","120,500","183,500"
2019-12-28,"56,500","120,500","183,500"
2019-12-29,"56,500","120,500","183,500"
2019-12-30,"55,800","120,500","186,500"
2019-12-31,"55,800","120,500","186,500"
